Text Name,Lines,Open Lines (%),Feminine Endings (%)
2H6VS,2503,26.36835797043548,88.61366360367559
DF04VS,784,40.94387755102041,79.20918367346938
DF16VS,1287,22.92152292152292,79.87567987567988
DIDOVS,1713,16.46234676007005,85.28896672504378
EDW2VS,2486,12.469831053901851,88.93805309734513
ERRVS,1408,24.147727272727273,91.83238636363636
JNVS,2561,33.97110503709489,80.67161265130808
LLLVS,1536,25.78125,90.49479166666667
MAPAVS,1083,15.604801477377654,87.53462603878117
R2VS,2643,89.59515701853954,80.59023836549376
R3VS,3372,28.944246737841045,87.24792408066429
SHRVS,1991,23.756906077348066,92.26519337016575
TAM1VS,2229,22.476446837146703,79.76671152983401
TAM2VS,2255,21.06430155210643,80.48780487804878
